    271 ascii with confidence 1.0
      1 ./books/flavius/aj/15.html: windows-1251 with confidence 0.9926201273235659
      1 ./books/flavius/aj/16.html: windows-1251 with confidence 0.9956496537763814
      1 ./books/flavius/aj/17.html: MacCyrillic with confidence 0.9983892483424504
      1 ./books/flavius/aj/18.html: windows-1251 with confidence 0.9848687074120603
      1 ./books/flavius/aj/19.html: windows-1251 with confidence 0.9940915252173155
      1 ./books/flavius/aj/20.html: windows-1251 with confidence 0.9861718144022723
      1 ./books/flavius/aj/21.html: MacCyrillic with confidence 0.880894723187624
      1 ./books/flavius/aj/index.html: windows-1251 with confidence 0.8927086414831311
      1 ./books/flavius/aj/nav.html: windows-1251 with confidence 0.8720526110616428
      1 ./books/flavius/aj/title.html: windows-1251 with confidence 0.8927086414831311
      1 ./books/flavius/bj/00.html: windows-1251 with confidence 0.9993949918453463
      1 ./books/flavius/bj/01.html: windows-1251 with confidence 0.9888236151542765
      1 ./books/flavius/bj/02.html: MacCyrillic with confidence 0.9926243556784303
      1 ./books/flavius/bj/03.html: windows-1251 with confidence 0.9971669858309292
      1 ./books/flavius/bj/04.html: windows-1251 with confidence 0.9968447337010289
      1 ./books/flavius/bj/05.html: windows-1251 with confidence 0.9981532665992604
      1 ./books/flavius/bj/06.html: MacCyrillic with confidence 0.9982484069247288
      1 ./books/flavius/bj/07.html: windows-1251 with confidence 0.9961441012160612
      1 ./books/flavius/bj/0.html: windows-1251 with confidence 0.7333849464406555
      1 ./books/flavius/bj/index.html: windows-1251 with confidence 0.8842066544213868
      1 ./books/flavius/bj/nav.html: windows-1251 with confidence 0.8735855534673763
      1 ./books/flavius/bj/title.html: windows-1251 with confidence 0.8842066544213868
      1 ./books/flavius/index.html: windows-1251 with confidence 0.9160996805137006
      1 ./books/flavius/jos_oo_n/index.html: ascii with confidence 1.0
      1 ./books/flavius/nav.html: windows-1251 with confidence 0.9136802095687664
      1 ./books/flavius/title.html: windows-1251 with confidence 0.9160996805137006
      1 ./books/hieronym/index.html: windows-1251 with confidence 0.9361892396698734
      1 ./books/irenaeus/ah/00.html: MacCyrillic with confidence 0.9843784913322254
      1 ./books/irenaeus/ah/01.html: windows-1251 with confidence 0.9835479830999766
      1 ./books/irenaeus/ah/02.html: windows-1251 with confidence 0.9901874082672057
      1 ./books/irenaeus/ah/03.html: MacCyrillic with confidence 0.9861639037726488
      1 ./books/irenaeus/ah/04.html: MacCyrillic with confidence 0.9848413225388248
      1 ./books/irenaeus/ah/05.html: MacCyrillic with confidence 0.9901634662454755
      1 ./books/irenaeus/ah/0.html: windows-1251 with confidence 0.7575624721474904
      1 ./books/irenaeus/ah/index.html: windows-1251 with confidence 0.9192247397450062
      1 ./books/irenaeus/ah/nav.html: windows-1251 with confidence 0.9043022602036912
      1 ./books/irenaeus/ah/preface.html: Windows-1252 with confidence 0.73
      1 ./books/irenaeus/ah/title.html: windows-1251 with confidence 0.9192247397450062
      1 ./books/metaphys/01.html: MacCyrillic with confidence 0.9918627554245739
      1 ./books/metaphys/02.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/03.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/04.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/05.html: MacCyrillic with confidence 0.9923593396124287
      1 ./books/metaphys/06.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/07.html: MacCyrillic with confidence 0.9932566731560328
      1 ./books/metaphys/08.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/09.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/10.html: MacCyrillic with confidence 0.9916841552942467
      1 ./books/metaphys/11.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/12.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/13.html: windows-1251 with confidence 0.99
      1 ./books/metaphys/14.html: MacCyrillic with confidence 0.9930179300855703
      1 ./books/metaphys/index.html: windows-1251 with confidence 0.9224655961992354
      1 ./books/metaphys/nav.html: windows-1251 with confidence 0.8700653022042097
      1 ./books/metaphys/t.html: windows-1251 with confidence 0.787075670666706
      1 ./books/metaphys/title.html: windows-1251 with confidence 0.9224655961992354
      1 ./books/renan/01/0000.html: MacCyrillic with confidence 0.987112045010963
      1 ./books/renan/01/000.html: windows-1251 with confidence 0.9945286568315453
      1 ./books/renan/01/00.html: windows-1251 with confidence 0.9866330241619214
      1 ./books/renan/01/01.html: windows-1251 with confidence 0.9872167640867735
      1 ./books/renan/01/02.html: windows-1251 with confidence 0.9821188955834298
      1 ./books/renan/01/03.html: windows-1251 with confidence 0.9818851556512269
      1 ./books/renan/01/04.html: windows-1251 with confidence 0.9839684239572989
      1 ./books/renan/01/05.html: windows-1251 with confidence 0.9784053096743187
      1 ./books/renan/01/06.html: windows-1251 with confidence 0.9788313141713212
      1 ./books/renan/01/07.html: windows-1251 with confidence 0.9903446792854124
      1 ./books/renan/01/08.html: windows-1251 with confidence 0.9779100094770882
      1 ./books/renan/01/09.html: MacCyrillic with confidence 0.9797420123799078
      1 ./books/renan/01/0.html: MacCyrillic with confidence 0.8284082332747037
      1 ./books/renan/01/10.html: windows-1251 with confidence 0.9814907286238455
      1 ./books/renan/01/11.html: windows-1251 with confidence 0.984501101260095
      1 ./books/renan/01/12.html: windows-1251 with confidence 0.9772779469355686
      1 ./books/renan/01/13.html: windows-1251 with confidence 0.9836260535988425
      1 ./books/renan/01/14.html: windows-1251 with confidence 0.976255571401529
